Order ID,Product,Quantity Ordered,Price_Each,Order Date,Purchase Address
150525,20in Monitor,1,$109.99 ,2/25/2019,"874 Jefferson St, San Francisco, CA 94016"
150526,AAA Batteries (4-pack),1,$2.99 ,2/15/2019,"85 Park St, Boston, MA 02215"
150527,USB-C Charging Cable,1,$11.95 ,2/7/2019,"165 Jefferson St, Los Angeles, CA 90001"
150528,AAA Batteries (4-pack),2,$2.99 ,2/26/2019,"426 Lake St, Los Angeles, CA 90001"
150529,AA Batteries (4-pack),4,$3.84 ,2/11/2019,"116 Elm St, Seattle, WA 98101"
150530,ThinkPad Laptop,1,$999.99 ,2/5/2019,"752 Park St, Los Angeles, CA 90001"
150531,USB-C Charging Cable,1,$11.95 ,2/28/2019,"457 Maple St, Los Angeles, CA 90001"
150532,USB-C Charging Cable,1,$11.95 ,2/4/2019,"645 Walnut St, San Francisco, CA 94016"
150533,AAA Batteries (4-pack),1,$2.99 ,3/1/2019,"270 Dogwood St, San Francisco, CA 94016"
150534,AAA Batteries (4-pack),2,$2.99 ,2/12/2019,"246 9th St, Los Angeles, CA 90001"
150535,AAA Batteries (4-pack),1,$2.99 ,2/21/2019,"961 2nd St, San Francisco, CA 94016"
150536,Wired Headphones,1,$11.99 ,2/13/2019,"134 8th St, Los Angeles, CA 90001"
150537,Wired Headphones,1,$11.99 ,2/23/2019,"437 12th St, San Francisco, CA 94016"
150538,Apple Airpods Headphones,1,$150.00 ,2/22/2019,"553 12th St, Atlanta, GA 30301"
150539,AA Batteries (4-pack),2,$3.84 ,2/18/2019,"103 14th St, San Francisco, CA 94016"
150540,Apple Airpods Headphones,1,$150.00 ,2/18/2019,"218 Ridge St, Atlanta, GA 30301"
150541,AAA Batteries (4-pack),1,$2.99 ,3/1/2019,"683 Adams St, Portland, OR 97035"
150542,AA Batteries (4-pack),1,$3.84 ,2/2/2019,"517 10th St, Austin, TX 73301"
150543,Wired Headphones,1,$11.99 ,2/8/2019,"268 Sunset St, Boston, MA 02215"
150544,Lightning Charging Cable,1,$14.95 ,2/10/2019,"723 Elm St, Los Angeles, CA 90001"
150545,Macbook Pro Laptop,1,"$1,700.00 ",2/25/2019,"905 Meadow St, Atlanta, GA 30301"
150546,AAA Batteries (4-pack),1,$2.99 ,2/7/2019,"43 1st St, Atlanta, GA 30301"
150547,AAA Batteries (4-pack),1,$2.99 ,2/6/2019,"511 Washington St, San Francisco, CA 94016"
150548,Macbook Pro Laptop,1,"$1,700.00 ",2/18/2019,"750 Forest St, Boston, MA 02215"
150549,iPhone,1,$700.00 ,2/5/2019,"522 West St, Boston, MA 02215"
150550,ThinkPad Laptop,1,$999.99 ,2/17/2019,"261 Washington St, Los Angeles, CA 90001"
150551,27in 4K Gaming Monitor,1,$389.99 ,2/2/2019,"726 West St, Seattle, WA 98101"
150552,Wired Headphones,1,$11.99 ,2/21/2019,"954 13th St, Boston, MA 02215"
150553,34in Ultrawide Monitor,1,$379.99 ,2/20/2019,"700 1st St, Dallas, TX 75001"
150554,AA Batteries (4-pack),1,$3.84 ,2/12/2019,"33 Johnson St, New York City, NY 10001"
150555,27in FHD Monitor,1,$149.99 ,2/18/2019,"714 Adams St, Portland, OR 97035"
150556,Lightning Charging Cable,1,$14.95 ,2/10/2019,"419 Hill St, Los Angeles, CA 90001"
150557,AA Batteries (4-pack),2,$3.84 ,2/22/2019,"372 5th St, Seattle, WA 98101"
150558,Wired Headphones,1,$11.99 ,2/4/2019,"864 Hickory St, Boston, MA 02215"
150559,Apple Airpods Headphones,1,$150.00 ,2/7/2019,"506 Willow St, Boston, MA 02215"
150560,Apple Airpods Headphones,1,$150.00 ,2/5/2019,"178 14th St, San Francisco, CA 94016"
150561,Wired Headphones,1,$11.99 ,2/22/2019,"888 Jefferson St, New York City, NY 10001"
150562,27in 4K Gaming Monitor,1,$389.99 ,2/16/2019,"663 1st St, Atlanta, GA 30301"
150563,iPhone,1,$700.00 ,2/20/2019,"631 Pine St, San Francisco, CA 94016"
150564,USB-C Charging Cable,1,$11.95 ,2/28/2019,"579 9th St, Atlanta, GA 30301"
150565,Wired Headphones,1,$11.99 ,2/24/2019,"406 Lincoln St, Seattle, WA 98101"
150566,27in FHD Monitor,1,$149.99 ,2/21/2019,"230 Pine St, Los Angeles, CA 90001"
150567,Apple Airpods Headphones,1,$150.00 ,2/26/2019,"466 South St, Dallas, TX 75001"
150568,Wired Headphones,1,$11.99 ,2/15/2019,"651 Johnson St, New York City, NY 10001"
150569,AA Batteries (4-pack),3,$3.84 ,2/4/2019,"981 Lake St, Seattle, WA 98101"
150570,Wired Headphones,1,$11.99 ,2/18/2019,"786 Meadow St, San Francisco, CA 94016"
150571,Lightning Charging Cable,1,$14.95 ,2/23/2019,"571 Hickory St, San Francisco, CA 94016"
150572,27in FHD Monitor,1,$149.99 ,2/6/2019,"523 Spruce St, Atlanta, GA 30301"
150573,Apple Airpods Headphones,1,$150.00 ,2/25/2019,"455 Highland St, Los Angeles, CA 90001"
150574,Lightning Charging Cable,1,$14.95 ,2/17/2019,"25 7th St, Portland, OR 97035"
150575,AA Batteries (4-pack),1,$3.84 ,2/10/2019,"776 Elm St, Los Angeles, CA 90001"
,,,,,
150576,Bose SoundSport Headphones,1,$99.99 ,2/2/2019,"43 South St, San Francisco, CA 94016"
150577,AA Batteries (4-pack),1,$3.84 ,2/25/2019,"122 Spruce St, Seattle, WA 98101"
150578,USB-C Charging Cable,1,$11.95 ,2/6/2019,"193 Pine St, San Francisco, CA 94016"
150579,USB-C Charging Cable,1,$11.95 ,2/27/2019,"320 North St, Los Angeles, CA 90001"
150580,AA Batteries (4-pack),1,$3.84 ,2/11/2019,"399 5th St, New York City, NY 10001"
150581,AA Batteries (4-pack),1,$3.84 ,2/21/2019,"144 Washington St, Seattle, WA 98101"
150582,iPhone,1,$700.00 ,2/16/2019,"678 Maple St, Seattle, WA 98101"
150582,Lightning Charging Cable,1,$14.95 ,2/16/2019,"678 Maple St, Seattle, WA 98101"
150583,27in FHD Monitor,1,$149.99 ,2/1/2019,"159 Maple St, Seattle, WA 98101"
150584,AAA Batteries (4-pack),1,$2.99 ,2/24/2019,"971 Park St, Boston, MA 02215"
150585,USB-C Charging Cable,1,$11.95 ,2/16/2019,"55 Walnut St, Seattle, WA 98101"
150586,Apple Airpods Headphones,1,$150.00 ,2/12/2019,"671 12th St, San Francisco, CA 94016"
150587,Lightning Charging Cable,1,$14.95 ,2/11/2019,"290 Meadow St, Seattle, WA 98101"
150588,AAA Batteries (4-pack),2,$2.99 ,2/9/2019,"823 Cedar St, Los Angeles, CA 90001"
150589,Flatscreen TV,1,$300.00 ,2/24/2019,"123 Washington St, San Francisco, CA 94016"
150590,Apple Airpods Headphones,1,$150.00 ,2/8/2019,"196 River St, San Francisco, CA 94016"
150590,AAA Batteries (4-pack),1,$2.99 ,2/8/2019,"196 River St, San Francisco, CA 94016"
150591,AAA Batteries (4-pack),1,$2.99 ,2/12/2019,"362 Main St, Portland, OR 97035"
150592,USB-C Charging Cable,1,$11.95 ,2/2/2019,"756 6th St, Los Angeles, CA 90001"
150593,Bose SoundSport Headphones,1,$99.99 ,2/15/2019,"441 Park St, New York City, NY 10001"
150594,USB-C Charging Cable,1,$11.95 ,2/19/2019,"286 8th St, San Francisco, CA 94016"
150595,USB-C Charging Cable,1,$11.95 ,2/12/2019,"734 Cherry St, San Francisco, CA 94016"
150596,AAA Batteries (4-pack),1,$2.99 ,2/7/2019,"724 Ridge St, Dallas, TX 75001"
150597,USB-C Charging Cable,1,$11.95 ,2/18/2019,"758 Lincoln St, Boston, MA 02215"
150598,Wired Headphones,1,$11.99 ,2/21/2019,"841 12th St, Boston, MA 02215"
150599,20in Monitor,1,$109.99 ,2/19/2019,"677 South St, Atlanta, GA 30301"
150600,AA Batteries (4-pack),1,$3.84 ,2/11/2019,"353 11th St, San Francisco, CA 94016"
150601,AAA Batteries (4-pack),2,$2.99 ,2/16/2019,"24 Highland St, Atlanta, GA 30301"
150602,Apple Airpods Headphones,1,$150.00 ,2/11/2019,"207 Wilson St, Los Angeles, CA 90001"
150603,USB-C Charging Cable,1,$11.95 ,2/18/2019,"772 Johnson St, Seattle, WA 98101"
150604,AA Batteries (4-pack),1,$3.84 ,2/26/2019,"125 Hickory St, Atlanta, GA 30301"
150605,USB-C Charging Cable,1,$11.95 ,2/6/2019,"443 Park St, San Francisco, CA 94016"
150606,AA Batteries (4-pack),1,$3.84 ,2/28/2019,"810 Madison St, Atlanta, GA 30301"
150607,Lightning Charging Cable,1,$14.95 ,2/27/2019,"469 Church St, San Francisco, CA 94016"
150608,ThinkPad Laptop,1,$999.99 ,2/20/2019,"383 10th St, San Francisco, CA 94016"
150609,USB-C Charging Cable,1,$11.95 ,2/9/2019,"403 North St, New York City, NY 10001"
150610,27in FHD Monitor,1,$149.99 ,2/19/2019,"409 Church St, Boston, MA 02215"
150611,AAA Batteries (4-pack),1,$2.99 ,2/4/2019,"961 5th St, Portland, OR 97035"
150612,USB-C Charging Cable,1,$11.95 ,2/28/2019,"321 7th St, Los Angeles, CA 90001"
150613,AA Batteries (4-pack),1,$3.84 ,2/8/2019,"198 Walnut St, Los Angeles, CA 90001"
150614,AA Batteries (4-pack),2,$3.84 ,2/5/2019,"709 Cedar St, Boston, MA 02215"
150615,27in FHD Monitor,1,$149.99 ,2/27/2019,"814 Highland St, New York City, NY 10001"
150616,27in 4K Gaming Monitor,1,$389.99 ,2/5/2019,"985 Jackson St, Portland, OR 97035"
150617,Google Phone,1,$600.00 ,2/25/2019,"551 Sunset St, New York City, NY 10001"
150617,USB-C Charging Cable,1,$11.95 ,2/25/2019,"551 Sunset St, New York City, NY 10001"
150618,USB-C Charging Cable,1,$11.95 ,2/24/2019,"659 8th St, Portland, OR 97035"
150619,USB-C Charging Cable,1,$11.95 ,2/17/2019,"529 Madison St, Los Angeles, CA 90001"
150620,Apple Airpods Headphones,1,$150.00 ,2/7/2019,"808 1st St, Los Angeles, CA 90001"
150621,AA Batteries (4-pack),1,$3.84 ,2/5/2019,"173 Dogwood St, Boston, MA 02215"
150622,34in Ultrawide Monitor,1,$379.99 ,2/12/2019,"230 Washington St, Boston, MA 02215"
150623,iPhone,1,$700.00 ,2/5/2019,"96 7th St, Seattle, WA 98101"
150624,34in Ultrawide Monitor,1,$379.99 ,2/16/2019,"582 Wilson St, Los Angeles, CA 90001"
150625,AAA Batteries (4-pack),1,$2.99 ,2/21/2019,"19 5th St, New York City, NY 10001"
150626,AA Batteries (4-pack),2,$3.84 ,2/26/2019,"464 Center St, Dallas, TX 75001"
150627,USB-C Charging Cable,1,$11.95 ,2/17/2019,"106 10th St, Portland, OR 97035"
150628,Lightning Charging Cable,2,$14.95 ,2/25/2019,"206 Spruce St, San Francisco, CA 94016"
150629,AA Batteries (4-pack),1,$3.84 ,2/28/2019,"686 2nd St, Los Angeles, CA 90001"
150630,Apple Airpods Headphones,1,$150.00 ,2/14/2019,"274 Sunset St, Dallas, TX 75001"
150631,20in Monitor,1,$109.99 ,2/26/2019,"483 14th St, Atlanta, GA 30301"
150632,Wired Headphones,1,$11.99 ,2/18/2019,"108 Adams St, New York City, NY 10001"
150633,Wired Headphones,1,$11.99 ,2/9/2019,"566 Lake St, Los Angeles, CA 90001"
150634,USB-C Charging Cable,1,$11.95 ,2/11/2019,"463 Hickory St, New York City, NY 10001"
150635,iPhone,1,$700.00 ,2/10/2019,"129 Center St, Seattle, WA 98101"
150636,USB-C Charging Cable,1,$11.95 ,2/15/2019,"589 Walnut St, Portland, OR 97035"
150637,Apple Airpods Headphones,1,$150.00 ,2/2/2019,"23 Church St, Austin, TX 73301"
150638,AA Batteries (4-pack),1,$3.84 ,2/19/2019,"466 Lakeview St, New York City, NY 10001"
150639,Lightning Charging Cable,2,$14.95 ,2/19/2019,"408 Park St, Atlanta, GA 30301"
150640,Vareebadd Phone,1,$400.00 ,2/26/2019,"769 Willow St, New York City, NY 10001"
150641,AAA Batteries (4-pack),1,$2.99 ,2/10/2019,"72 12th St, Portland, OR 97035"
150642,Lightning Charging Cable,1,$14.95 ,2/27/2019,"938 Pine St, New York City, NY 10001"
150643,Apple Airpods Headphones,1,$150.00 ,2/23/2019,"304 North St, Seattle, WA 98101"
150644,Bose SoundSport Headphones,1,$99.99 ,2/17/2019,"879 Sunset St, Dallas, TX 75001"
150645,27in 4K Gaming Monitor,1,$389.99 ,2/2/2019,"153 South St, Seattle, WA 98101"
150646,27in FHD Monitor,1,$149.99 ,2/10/2019,"312 Spruce St, San Francisco, CA 94016"
150647,20in Monitor,1,$109.99 ,2/20/2019,"102 Dogwood St, New York City, NY 10001"
150648,27in 4K Gaming Monitor,1,$389.99 ,2/7/2019,"217 11th St, Los Angeles, CA 90001"
150649,27in FHD Monitor,1,$149.99 ,2/15/2019,"834 Main St, San Francisco, CA 94016"
150650,Bose SoundSport Headphones,1,$99.99 ,2/21/2019,"982 11th St, San Francisco, CA 94016"
150651,Google Phone,1,$600.00 ,2/2/2019,"525 10th St, New York City, NY 10001"
150651,USB-C Charging Cable,1,$11.95 ,2/2/2019,"525 10th St, New York City, NY 10001"
150652,AAA Batteries (4-pack),1,$2.99 ,2/12/2019,"933 Jackson St, Boston, MA 02215"
150653,27in FHD Monitor,1,$149.99 ,2/4/2019,"955 Jackson St, Los Angeles, CA 90001"
150654,Wired Headphones,1,$11.99 ,2/14/2019,"263 Cherry St, Los Angeles, CA 90001"
150655,AAA Batteries (4-pack),1,$2.99 ,2/12/2019,"154 Main St, Los Angeles, CA 90001"
150656,27in FHD Monitor,1,$149.99 ,2/13/2019,"643 Jackson St, Atlanta, GA 30301"
150657,AAA Batteries (4-pack),1,$2.99 ,2/10/2019,"406 Maple St, Los Angeles, CA 90001"
150658,USB-C Charging Cable,1,$11.95 ,2/25/2019,"82 Park St, Austin, TX 73301"
150659,27in 4K Gaming Monitor,1,$389.99 ,2/11/2019,"117 Johnson St, San Francisco, CA 94016"
150660,27in FHD Monitor,1,$149.99 ,2/3/2019,"719 11th St, New York City, NY 10001"
150661,Wired Headphones,1,$11.99 ,2/21/2019,"835 Spruce St, Atlanta, GA 30301"
150662,Wired Headphones,1,$11.99 ,2/1/2019,"403 North St, Dallas, TX 75001"
150663,AAA Batteries (4-pack),1,$2.99 ,2/14/2019,"205 Spruce St, Los Angeles, CA 90001"
150664,ThinkPad Laptop,1,$999.99 ,2/6/2019,"928 14th St, Dallas, TX 75001"
,,,,,
150665,AAA Batteries (4-pack),2,$2.99 ,2/10/2019,"964 7th St, San Francisco, CA 94016"
150666,Wired Headphones,1,$11.99 ,2/5/2019,"188 Spruce St, San Francisco, CA 94016"
,,,,,
150667,USB-C Charging Cable,1,$11.95 ,2/27/2019,"662 Chestnut St, Dallas, TX 75001"
150668,Wired Headphones,1,$11.99 ,2/14/2019,"419 7th St, Atlanta, GA 30301"
150669,iPhone,1,$700.00 ,2/10/2019,"585 6th St, Atlanta, GA 30301"
150670,AA Batteries (4-pack),1,$3.84 ,2/28/2019,"368 Hickory St, Portland, ME 04101"
150671,Bose SoundSport Headphones,1,$99.99 ,2/9/2019,"690 14th St, Boston, MA 02215"
150672,USB-C Charging Cable,1,$11.95 ,2/24/2019,"869 Spruce St, Dallas, TX 75001"
150673,Bose SoundSport Headphones,1,$99.99 ,2/2/2019,"688 Spruce St, San Francisco, CA 94016"
150674,Google Phone,1,$600.00 ,2/21/2019,"690 Park St, San Francisco, CA 94016"
150674,USB-C Charging Cable,1,$11.95 ,2/21/2019,"690 Park St, San Francisco, CA 94016"
150674,Wired Headphones,1,$11.99 ,2/21/2019,"690 Park St, San Francisco, CA 94016"
150675,Lightning Charging Cable,1,$14.95 ,2/24/2019,"395 Spruce St, San Francisco, CA 94016"
150676,27in FHD Monitor,1,$149.99 ,2/17/2019,"401 Cedar St, Dallas, TX 75001"
150677,ThinkPad Laptop,1,$999.99 ,2/8/2019,"221 Elm St, New York City, NY 10001"
150678,AA Batteries (4-pack),1,$3.84 ,2/17/2019,"399 Center St, Los Angeles, CA 90001"
150679,Bose SoundSport Headphones,1,$99.99 ,2/17/2019,"885 Elm St, Seattle, WA 98101"
150680,iPhone,1,$700.00 ,2/3/2019,"29 Lakeview St, Austin, TX 73301"
150681,USB-C Charging Cable,2,$11.95 ,2/17/2019,"348 9th St, Seattle, WA 98101"
150682,Apple Airpods Headphones,1,$150.00 ,2/15/2019,"833 Lake St, San Francisco, CA 94016"
150683,27in FHD Monitor,1,$149.99 ,2/23/2019,"632 Ridge St, San Francisco, CA 94016"
150684,34in Ultrawide Monitor,1,$379.99 ,2/23/2019,"615 Jefferson St, San Francisco, CA 94016"
150685,Lightning Charging Cable,2,$14.95 ,2/5/2019,"658 Forest St, Portland, OR 97035"
150686,iPhone,1,$700.00 ,2/28/2019,"389 Pine St, Los Angeles, CA 90001"
150687,Wired Headphones,1,$11.99 ,2/27/2019,"292 Highland St, Los Angeles, CA 90001"
150688,Google Phone,1,$600.00 ,2/7/2019,"719 Maple St, New York City, NY 10001"
150688,Wired Headphones,1,$11.99 ,2/7/2019,"719 Maple St, New York City, NY 10001"
150689,AAA Batteries (4-pack),1,$2.99 ,2/24/2019,"623 10th St, Los Angeles, CA 90001"
150690,AA Batteries (4-pack),1,$3.84 ,2/28/2019,"167 Highland St, Atlanta, GA 30301"
150691,20in Monitor,1,$109.99 ,2/26/2019,"902 Adams St, New York City, NY 10001"
150692,Bose SoundSport Headphones,1,$99.99 ,2/23/2019,"868 11th St, Boston, MA 02215"
150693,Wired Headphones,1,$11.99 ,2/23/2019,"403 West St, Boston, MA 02215"
150694,Apple Airpods Headphones,1,$150.00 ,2/26/2019,"813 Church St, Los Angeles, CA 90001"
150695,AA Batteries (4-pack),1,$3.84 ,2/7/2019,"272 4th St, Atlanta, GA 30301"
150696,AA Batteries (4-pack),1,$3.84 ,2/2/2019,"417 Dogwood St, Boston, MA 02215"
150697,Bose SoundSport Headphones,1,$99.99 ,2/19/2019,"966 7th St, Seattle, WA 98101"
150698,34in Ultrawide Monitor,1,$379.99 ,2/8/2019,"375 Maple St, Los Angeles, CA 90001"
150699,USB-C Charging Cable,1,$11.95 ,2/6/2019,"253 Cherry St, San Francisco, CA 94016"
150700,USB-C Charging Cable,1,$11.95 ,2/3/2019,"551 2nd St, New York City, NY 10001"
150701,ThinkPad Laptop,1,$999.99 ,2/7/2019,"822 Highland St, Dallas, TX 75001"
150702,34in Ultrawide Monitor,1,$379.99 ,2/23/2019,"27 Wilson St, Los Angeles, CA 90001"
150703,27in 4K Gaming Monitor,1,$389.99 ,2/3/2019,"998 Jefferson St, Boston, MA 02215"
150704,27in 4K Gaming Monitor,1,$389.99 ,2/11/2019,"508 Walnut St, Austin, TX 73301"
150705,Bose SoundSport Headphones,1,$99.99 ,2/15/2019,"189 Elm St, New York City, NY 10001"
150706,Lightning Charging Cable,1,$14.95 ,2/19/2019,"815 Willow St, San Francisco, CA 94016"
150707,Lightning Charging Cable,1,$14.95 ,2/15/2019,"128 Elm St, San Francisco, CA 94016"
150708,Bose SoundSport Headphones,1,$99.99 ,2/5/2019,"36 Ridge St, Dallas, TX 75001"
150709,USB-C Charging Cable,1,$11.95 ,2/16/2019,"507 Washington St, Boston, MA 02215"
150710,27in 4K Gaming Monitor,1,$389.99 ,2/1/2019,"581 Jackson St, San Francisco, CA 94016"
150711,Flatscreen TV,1,$300.00 ,2/16/2019,"320 11th St, San Francisco, CA 94016"
150712,AA Batteries (4-pack),3,$3.84 ,2/19/2019,"109 Willow St, New York City, NY 10001"
150713,AAA Batteries (4-pack),2,$2.99 ,2/1/2019,"362 10th St, Dallas, TX 75001"
150714,Bose SoundSport Headphones,1,$99.99 ,2/14/2019,"539 5th St, Los Angeles, CA 90001"
150715,Apple Airpods Headphones,1,$150.00 ,2/28/2019,"626 Lakeview St, San Francisco, CA 94016"
150716,Bose SoundSport Headphones,1,$99.99 ,2/5/2019,"396 Elm St, Dallas, TX 75001"
150717,USB-C Charging Cable,1,$11.95 ,2/3/2019,"202 Maple St, Austin, TX 73301"
150718,AA Batteries (4-pack),1,$3.84 ,2/20/2019,"211 Willow St, Atlanta, GA 30301"
150719,AAA Batteries (4-pack),1,$2.99 ,2/1/2019,"281 Lake St, Portland, OR 97035"
150720,27in FHD Monitor,1,$149.99 ,2/10/2019,"326 10th St, San Francisco, CA 94016"
150721,Apple Airpods Headphones,1,$150.00 ,2/14/2019,"115 Cedar St, San Francisco, CA 94016"
150722,AA Batteries (4-pack),2,$3.84 ,2/9/2019,"859 Cedar St, Seattle, WA 98101"
150723,Lightning Charging Cable,1,$14.95 ,2/20/2019,"793 Forest St, Los Angeles, CA 90001"
150724,34in Ultrawide Monitor,1,$379.99 ,2/14/2019,"168 Forest St, Seattle, WA 98101"
150725,AA Batteries (4-pack),2,$3.84 ,2/27/2019,"148 Park St, San Francisco, CA 94016"
150726,USB-C Charging Cable,1,$11.95 ,2/9/2019,"984 Hickory St, San Francisco, CA 94016"
150727,Apple Airpods Headphones,1,$150.00 ,2/21/2019,"406 4th St, San Francisco, CA 94016"
150728,Wired Headphones,1,$11.99 ,2/3/2019,"7 Highland St, New York City, NY 10001"
150729,Google Phone,1,$600.00 ,2/8/2019,"705 7th St, Boston, MA 02215"
150730,USB-C Charging Cable,2,$11.95 ,2/16/2019,"357 Lakeview St, San Francisco, CA 94016"
150731,Lightning Charging Cable,1,$14.95 ,2/24/2019,"907 South St, Seattle, WA 98101"
150732,AA Batteries (4-pack),1,$3.84 ,2/11/2019,"417 Ridge St, San Francisco, CA 94016"
150733,27in 4K Gaming Monitor,1,$389.99 ,2/15/2019,"982 Washington St, Los Angeles, CA 90001"
150734,Google Phone,1,$600.00 ,2/13/2019,"119 Madison St, New York City, NY 10001"
150734,USB-C Charging Cable,1,$11.95 ,2/13/2019,"119 Madison St, New York City, NY 10001"
150735,AA Batteries (4-pack),1,$3.84 ,2/13/2019,"450 6th St, Boston, MA 02215"
150736,Wired Headphones,1,$11.99 ,2/21/2019,"785 Lakeview St, Los Angeles, CA 90001"
150737,AAA Batteries (4-pack),1,$2.99 ,2/14/2019,"727 Pine St, Los Angeles, CA 90001"
150738,Bose SoundSport Headphones,1,$99.99 ,2/8/2019,"374 Main St, Atlanta, GA 30301"
150739,Lightning Charging Cable,1,$14.95 ,2/15/2019,"21 11th St, Atlanta, GA 30301"
150740,34in Ultrawide Monitor,1,$379.99 ,2/8/2019,"838 11th St, Portland, OR 97035"
150741,Bose SoundSport Headphones,1,$99.99 ,2/11/2019,"755 Maple St, New York City, NY 10001"
150742,Wired Headphones,1,$11.99 ,2/9/2019,"589 Maple St, San Francisco, CA 94016"
150743,AAA Batteries (4-pack),1,$2.99 ,2/17/2019,"203 Main St, Los Angeles, CA 90001"
150744,34in Ultrawide Monitor,1,$379.99 ,2/7/2019,"682 5th St, Atlanta, GA 30301"
150745,AA Batteries (4-pack),3,$3.84 ,2/26/2019,"489 Center St, San Francisco, CA 94016"
150746,AAA Batteries (4-pack),1,$2.99 ,2/1/2019,"195 North St, Los Angeles, CA 90001"
150747,USB-C Charging Cable,1,$11.95 ,2/3/2019,"275 2nd St, San Francisco, CA 94016"
150748,AAA Batteries (4-pack),1,$2.99 ,2/27/2019,"931 11th St, New York City, NY 10001"
150749,Vareebadd Phone,1,$400.00 ,2/19/2019,"55 6th St, San Francisco, CA 94016"
150750,iPhone,1,$700.00 ,2/5/2019,"753 Washington St, New York City, NY 10001"
150751,USB-C Charging Cable,2,$11.95 ,2/11/2019,"153 Washington St, Los Angeles, CA 90001"
150752,Wired Headphones,1,$11.99 ,2/8/2019,"23 4th St, Portland, OR 97035"
150753,Lightning Charging Cable,1,$14.95 ,2/28/2019,"599 7th St, New York City, NY 10001"
150754,AAA Batteries (4-pack),1,$2.99 ,2/27/2019,"423 Park St, Austin, TX 73301"
150755,AA Batteries (4-pack),1,$3.84 ,2/20/2019,"355 Lake St, Austin, TX 73301"
150756,Bose SoundSport Headphones,1,$99.99 ,2/3/2019,"114 West St, Seattle, WA 98101"
150757,USB-C Charging Cable,1,$11.95 ,2/18/2019,"141 Highland St, San Francisco, CA 94016"
150758,iPhone,1,$700.00 ,2/19/2019,"360 Madison St, Austin, TX 73301"
150758,Wired Headphones,1,$11.99 ,2/19/2019,"360 Madison St, Austin, TX 73301"
150759,Lightning Charging Cable,1,$14.95 ,2/3/2019,"999 9th St, Boston, MA 02215"
150760,AA Batteries (4-pack),2,$3.84 ,2/17/2019,"638 4th St, Los Angeles, CA 90001"
150761,AAA Batteries (4-pack),1,$2.99 ,2/19/2019,"358 Maple St, Austin, TX 73301"
150762,USB-C Charging Cable,1,$11.95 ,2/15/2019,"927 Lake St, San Francisco, CA 94016"
150763,AA Batteries (4-pack),3,$3.84 ,2/11/2019,"276 2nd St, New York City, NY 10001"
150764,AAA Batteries (4-pack),1,$2.99 ,2/26/2019,"671 10th St, New York City, NY 10001"
150765,AA Batteries (4-pack),1,$3.84 ,2/13/2019,"750 Madison St, Seattle, WA 98101"
150766,Bose SoundSport Headphones,1,$99.99 ,2/25/2019,"969 10th St, San Francisco, CA 94016"
150767,Bose SoundSport Headphones,1,$99.99 ,2/1/2019,"38 Wilson St, San Francisco, CA 94016"
150768,Lightning Charging Cable,1,$14.95 ,2/26/2019,"482 Madison St, Los Angeles, CA 90001"
